uid,nces_school_id,school_name,nces_district_id,district_name,date,school_year,year,time,day_of_week,city,state,school_type,enrollment,killed,injured,casualties,shooting_type,age_shooter1,gender_shooter1,race_ethnicity_shooter1,shooter_relationship1,shooter_deceased1,deceased_notes1,age_shooter2,gender_shooter2,race_ethnicity_shooter2,shooter_relationship2,shooter_deceased2,deceased_notes2,white,black,hispanic,asian,american_indian_alaska_native,hawaiian_native_pacific_islander,two_or_more,resource_officer,weapon,weapon_source,lat,long,staffing,low_grade,high_grade,lunch,county,state_fips,county_fips,ulocale,month,day
229,180951001555,Dennis Intermediate School,1809510,Richmond Community Schools,2018-12-13,2018-2019,2018,8:00 AM,Thursday,Richmond,INDIANA,public,647,0,0,0,indiscriminate,14,m,,student,1,suicide,NA,,,,NA,,454,48,64,2,0,0,79,1,handgun and a rifle,,39.832,-84.9114,59.5,5,8,527,Wayne County,18,18177,32,Dec,13
230,410204000621,Cascade Middle School,4102040,Bethel Sd 52,2019-01-11,2018-2019,2019,10:30 AM,Friday,Eugene,OREGON,public,336,0,0,0,targeted,30,m,,father of student,1,police shooting,NA,,,,NA,,224,1,79,6,7,3,16,1,handgun,,44.0788,-123.1667,16.6,6,8,248,Lane County,41,41039,12,Jan,11
281,272124004557,North High School,2721240,Minneapolis Public School District,2019-01-16,2018-2019,2019,12:30 PM,Wednesday,Minneapolis,MINNESOTA,public,382,0,0,0,unclear,NA,,,,NA,,NA,,,,NA,,6,339,15,6,7,1,8,0,,,44.994017,-93.300234,49.28,9,12,276,Hennepin County,27,27053,11,Jan,16
231,240009000209,Frederick Douglass High School,2400090,Baltimore City Public Schools,2019-02-08,2018-2019,2019,12:00 PM,Friday,Baltimore,MARYLAND,public,877,0,1,1,targeted,25,m,,brother of student,0,,NA,,,,NA,,8,864,2,0,3,0,0,0,Smith and Wesson .40 caliber gun,,39.3148,-76.6549,62,9,12,,Baltimore City,24,24510,11,Feb,8
232,350001001024,V. Sue Cleveland High School,3500010,Rio Rancho Public Schools,2019-02-14,2018-2019,2019,7:15 AM,Thursday,Rio Rancho,NEW MEXICO,public,2404,0,0,0,targeted and indiscriminate,16,m,,student,0,,NA,,,,NA,,795,63,1284,35,97,2,128,0,.45 caliber handgun,,35.312773,-106.641929,123.06,9,12,750,Sandoval County,35,35043,41,Feb,14
234,010243001035,Robert E. Lee High School,102430,Montgomery County,2019-02-26,2018-2019,2019,11:00 AM,Tuesday,Montgomery,ALABAMA,public,1514,0,1,1,targeted,16,m,b,student,0,,NA,,,,NA,,132,1253,90,20,2,0,17,0,.40-caliber handgun,stolen from neighbor,32.378702,-86.271649,82.5,9,12,941,Montgomery County,1,1101,12,Feb,26
233,201164001534,Highlands Elementary School,2011640,Shawnee Mission Pub Sch,2019-03-01,2018-2019,2019,1:30 PM,Friday,Mission,KANSAS,public,321,0,0,0,indiscriminate,26,m,w,neighbor of school,0,,NA,,,,NA,,270,5,20,2,0,0,24,0,handgun,,39.0168,-94.6409,27.2,PK,6,48,Johnson County,20,20091,21,Mar,1
235,010042000205,Blountsville Elementary School,100420,Blount County,2019-03-22,2018-2019,2019,12:30 PM,Friday,Blountsville,ALABAMA,public,632,0,1,1,accidental,72,m,w,substitute teacher,0,,NA,,,,NA,,516,4,110,0,2,0,0,0,Taurus .380 pistol,legally purchased by shooter,34.0847,-86.586,37.39,KG,6,425,Blount County,1,1009,42,Mar,22
236,051182000899,Prescott High School,511820,Prescott School District,2019-04-01,2018-2019,2019,9:14 AM,Monday,Prescott,ARKANSAS,public,457,0,1,1,targeted,14,,,student,0,,NA,,,,NA,,246,182,21,4,4,0,0,0,handgun,,33.791237,-93.377376,42.07,7,12,310,Nevada County,5,5099,41,Apr,1
282,063384005261,New Joseph Bonnheim Community Charter School,633840,Sacramento City Unified,2019-04-03,2018-2019,2019,1:45 PM,Wednesday,Sacramento,CALIFORNIA,public,370,0,0,0,unclear,NA,,,,NA,,NA,,,,NA,,38,38,194,17,2,1,17,0,,,38.5333,-121.4182,12.5,KG,6,253,Sacramento County,6,6067,11,Apr,3
237,120048000698,Saint Clair Evans Academy,1200480,Duval,2019-04-03,2018-2019,2019,11:00 AM,Wednesday,Jacksonville,FLORIDA,public,380,0,0,0,unclear,NA,,,,NA,,NA,,,,NA,,5,367,3,0,0,0,5,0,,,30.371086,-81.695138,29,PK,5,336,Duval County,12,12031,11,Apr,3
283,260111708862,Flex High School,2601117,Flex High School Of Michigan,2019-04-17,2018-2019,2019,10:00 AM,Wednesday,Flint,MICHIGAN,public,120,0,0,0,targeted,16,,,student,0,,NA,,,,NA,,9,106,2,0,0,0,3,0,,,43.059497,-83.73516,3,9,12,117,Genesee County,26,26049,13,Apr,17
239,080345006493,Stem School Highlands Ranch,803450,Douglas County School District No. Re 1,2019-05-07,2018-2019,2019,1:52 PM,Tuesday,Highlands Ranch,COLORADO,public,1850,1,8,9,indiscriminate,16,m,w,student,0,,18,m,w,student,0,,1074,5,184,242,5,1,87,1,"Glock 21 .45-caliber semi-automatic pistol, Beretta M9 9mm semi-automatic pistol, Taurus Revolver and a Ruger 10/22 .22-caliber semi-automatic rifle",parent,39.5559,-104.9979,82.62,KG,12,89,Douglas County,8,8035,21,May,7
243,,Menta Academy North,NA,,2019-06-10,2018-2019,2019,1:45 PM,Monday,Waukegan,ILLINOIS,private,100,0,0,0,targeted,27,m,h,,0,,15,m,,,0,,NA,,,NA,NA,NA,NA,1,2 handguns,,42.35333175,-87.83950925,NA,PK,12,,,17,17097,NA,Jun,10
245,110003000182,Hendley Elementary School,1100030,District Of Columbia Public Schools,2019-06-12,2018-2019,2019,4:20 PM,Wednesday,Washington,DISTRICT OF COLUMBIA,public,379,0,0,0,unclear,NA,,,,NA,,NA,,,,NA,,0,378,0,1,0,0,0,0,,,38.828872,-76.999555,29.5,PK,5,,District of Columbia,11,11001,11,Jun,12
244,010243002084,Blount Elementary School,102430,Montgomery County,2019-08-08,2019-2020,2019,7:26 AM,Thursday,Montgomery,ALABAMA,public,150,0,0,0,targeted,38,m,b,father of student,0,,NA,,,,NA,,150,116,25,121,1,0,12,0,pistol,,32.3106,-86.1324,25,KG,5,65,Montgomery County,1,1101,41,Aug,8
242,062271003087,Hollenbeck Middle School,622710,Los Angeles Unified,2019-08-27,2019-2020,2019,11:00 AM,Tuesday,Los Angeles,CALIFORNIA,public,1023,0,1,1,unclear,NA,,,,NA,,NA,,,,NA,,11,4,999,4,3,1,1,0,,,34.036765,-118.212583,47.83,6,8,982,Los Angeles County,6,6037,11,Aug,27
241,450072001202,South Aiken High School,4500720,Aiken 01,2019-09-10,2019-2020,2019,,Tuesday,Aiken,SOUTH CAROLINA,public,1405,0,0,0,unclear,NA,,,,NA,,NA,,,,NA,,840,391,99,19,6,1,49,0,,,33.521766,-81.71303,78.8,9,12,441,Aiken County,45,45003,21,Sep,10
240,110003000122,Aiton Elementary School,1100030,District Of Columbia Public Schools,2019-09-25,2019-2020,2019,,Wednesday,Washington,DISTRICT OF COLUMBIA,public,243,0,0,0,targeted,NA,,,,NA,,NA,,,,NA,,0,238,5,0,0,0,0,0,,,38.896669,-76.933728,21,PK,5,,District of Columbia,11,11001,11,Sep,25
246,063583006130,Ridgway High School,635830,Santa Rosa High,2019-10-22,2019-2020,2019,9:00 AM,Tuesday,Santa Rosa,CALIFORNIA,public,257,0,1,1,targeted,17,,,student,NA,,NA,,,,NA,,64,4,163,4,5,1,16,0,,,38.4497,-122.7226,19.08,11,12,139,Sonoma County,6,6097,12,Oct,22
247,240009000236,Achievement Academy,2400090,Baltimore City Public Schools,2019-11-11,2019-2020,2019,2:00 PM,Monday,Baltimore,MARYLAND,public,343,0,1,1,targeted,NA,,,,NA,,NA,,,,NA,,4,332,5,0,1,0,1,0,,,39.366065999999996,-76.571382,20,9,12,343,Baltimore City,24,24510,11,Nov,11
284,,Esteban Torres High School,622710,,2019-11-13,2019-2020,2019,9:00 AM,Wednesday,Los Angeles,CALIFORNIA,public,1876,1,0,1,targeted,NA,,,sheriff's deputy,NA,,NA,,,,NA,,9,20,1836,8,2,0,1,1,,police,34.041846,-118.175531,97.75,9,12,1802,Los Angeles County,6,6037,21,Nov,13
248,064251006961,Saugus High School,642510,William S. Hart Union High,2019-11-14,2019-2020,2019,7:38 AM,Thursday,Saugus,CALIFORNIA,public,2441,2,3,5,indiscriminate,16,m,,student,1,suicide,NA,,,,NA,,1294,47,772,176,3,1,148,0,.45 caliber 1911 pistol,ghost gun,34.441924,-118.518128,93.98,9,12,406,Los Angeles County,6,6037,21,Nov,14
249,551578002025,Waukesha South High School,5515780,Waukesha School District,2019-12-02,2019-2020,2019,9:00 AM,Monday,Waukesha,WISCONSIN,public,946,0,1,1,targeted,NA,m,w,resource officer,0,,NA,,,,NA,,479,76,329,25,3,0,34,1,handgun,department issued,42.993,-88.2237,73.3,9,12,395,Waukesha County,55,55133,13,Dec,2
250,551119001496,Oshkosh West High School,5511190,Oshkosh Area School District,2019-12-03,2019-2020,2019,9:00 AM,Tuesday,Oshkosh,WISCONSIN,public,1702,0,1,1,targeted,NA,m,w,resource officer,0,,NA,,,,NA,,1475,36,70,79,4,1,37,1,handgun,department issued,44.0225,-88.5736,116.1,9,12,435,Winnebago County,55,55139,13,Dec,3
251,010117000429,Decatur High School,101170,Decatur City,2019-12-10,2019-2020,2019,8:20 AM,Tuesday,Decatur,ALABAMA,public,1036,0,0,0,targeted,22,m,,,0,,NA,,,,NA,,448,301,250,9,6,2,20,0,,,34.593282,-86.97216,64.5,9,12,586,Morgan County,1,1103,13,Dec,10
252,864049,Sacred Heart School,NA,,2019-12-10,2019-2020,2019,12:45 PM,Tuesday,Jersey City,NEW JERSEY,private,219,0,0,0,targeted,NA,,,,NA,,NA,,,,NA,,2,180,12,5,0,0,0,0,,,40.706963,-74.083408,11.5,PK,8,,Hudson County,34,34017,11,Dec,10
253,230704,Catholic Academy Of New Haven,NA,,2019-12-16,2019-2020,2019,9:00 AM,Monday,New Haven,CONNECTICUT,private,292,0,0,0,targeted,NA,m,b,,NA,,NA,,,,NA,,27,141,39,9,2,0,2,0,,,41.325823,-72.963177,13,PK,8,,New Haven County,9,9009,12,Dec,16
254,482364002397,Bellaire High School,4823640,Houston Isd,2020-01-14,2019-2020,2020,4:00 PM,Tuesday,Bellaire,TEXAS,public,3487,1,0,1,accidental,16,m,,student,0,,NA,,,,NA,,722,695,1520,469,8,3,70,0,.32 caliber semi-automatic pistol,,29.692163,-95.469159,203.32,9,12,1665,Harris County,48,48201,21,Jan,14
255,062922009598,Mcauliffe Elementary School,629220,Oxnard,2020-01-23,2019-2020,2020,11:30 AM,Thursday,Oxnard,CALIFORNIA,public,698,0,1,1,indiscriminate,NA,,,,NA,,NA,,,,NA,,77,16,554,31,1,1,18,0,,,34.1876,-119.2135,32,KG,12,374,Ventura County,6,6111,12,Jan,23
256,490087000524,West High School,4900870,Salt Lake District,2020-02-13,2019-2020,2020,3:00 PM,Thursday,Salt Lake City,UTAH,public,2703,0,0,0,targeted,NA,,,student,NA,,NA,,,,NA,,966,127,1137,229,25,101,118,0,,,40.774742,-111.900444,111.84,7,12,1483,Salt Lake County,49,49035,12,Feb,13
257,060285000207,Antioch High School,602850,Antioch Unified,2020-02-19,2019-2020,2020,9:30 AM,Wednesday,Antioch,CALIFORNIA,public,2061,0,0,0,targeted,15,m,,,NA,,NA,,,,NA,,319,421,1092,103,14,32,80,0,,,38.0063,-121.8163,87.84,9,12,1460,Contra Costa County,6,6013,21,Feb,19
258,350011700891,Cesar Chavez Community School,3500117,Cesar Chavez Community School,2020-02-21,2019-2020,2020,11:00 AM,Friday,Albuquerque,NEW MEXICO,public,203,0,0,0,unclear,NA,,,,NA,,NA,,,,NA,,13,7,154,0,26,0,3,0,,,35.059669,-106.583882,11.36,9,12,203,Bernalillo County,35,35001,11,Feb,21
259,A1592044,Sagemont School,NA,,2020-03-05,2019-2020,2020,12:00 PM,Thursday,Weston,FLORIDA,private,651,0,1,1,accidental,55,m,b,security guard,0,,NA,,,,NA,,NA,,,NA,NA,NA,NA,0,,,26.13796,-80.424081,46,PK,12,,Broward County,12,12011,21,Mar,5
260,120048000691,Ribault High School,1200480,Duval,2020-10-09,2020-2021,2020,2:00 PM,Friday,Jacksonville,FLORIDA,public,1383,0,1,1,accidental,18,,,,0,,NA,,,,NA,,30,1318,11,3,0,0,21,0,.380-caliber handgun,,30.3906,-81.7073,68,9,12,884,Duval County,12,12031,11,Oct,9
261,370042000124,Lincoln Elementary School,3700420,Brunswick County Schools,2020-11-13,2020-2021,2020,2:00 PM,Friday,Leland,NORTH CAROLINA,public,594,0,1,1,accidental,NA,,,,0,,NA,,,,NA,,258,118,156,0,8,0,54,0,,,34.2618,-78.0429,40,PK,5,495,Brunswick County,37,37019,22,Nov,13
262,370210000929,Hendersonville Middle School,3702100,Henderson County Schools,2020-11-24,2020-2021,2020,7:45 AM,Tuesday,Hendersonville,NORTH CAROLINA,public,561,0,1,1,accidental,12,m,,,0,,NA,,,,NA,,357,54,109,7,0,4,30,0,,,35.3219,-82.473,41,6,8,254,Handerson County,37,37089,21,Nov,24
263,051393001212,Watson Chapel Junior High,513930,Watson Chapel School District,2021-03-01,2020-2021,2021,9:55 AM,Monday,Pine Bluff,ARKANSAS,public,615,1,0,1,targeted,15,m,b,,NA,,NA,,,,NA,,91,498,12,11,0,0,3,0,handgun,,34.189927,-92.065921,43.53,7,9,488,Jefferson County,5,5069,41,Mar,1
267,363033004076,Wayne Central Middle School,3630330,Wayne Central School District,2021-03-01,2020-2021,2021,9:40 AM,Monday,Ontario,NEW YORK,public,693,0,1,1,targeted,19,m,w,employee,NA,,NA,,,,NA,,640,13,23,6,0,0,11,0,Smith and Wesson M&P .45 caliber handgun,SRO,43.2197,-77.3036,67.09,5,8,268,Wayne County,36,36117,21,Mar,1
268,,Achievement First Amistad High School,NA,,2021-03-04,2020-2021,2021,8:10 AM,Thursday,New Haven,CONNECTICUT,private,520,0,0,0,unclear,NA,,,,NA,,NA,,,,NA,,NA,,,NA,NA,NA,NA,0,,,41.32981839,-72.9357119,NA,,,,,9,9009,NA,Mar,4
264,450156000305,Edwards Elementary School,4501560,Chesterfield 01,2021-03-08,2020-2021,2021,1:30 PM,Monday,Chesterfield,SOUTH CAROLINA,public,503,0,1,1,targeted,54,,,,NA,,NA,,,,NA,,307,160,2,3,0,0,31,0,,,34.737634,-80.11771,36,PK,5,503,Chesterfield County,45,45025,42,Mar,8
269,1060127,Bishop Hartley High School,NA,,2021-03-09,2020-2021,2021,8:50 AM,Tuesday,Columbus,OHIO,private,679,0,0,0,unclear,NA,,,,NA,,NA,,,,NA,,404,190,29,10,0,0,46,0,,,39.94497,-82.910821,47.3,9,12,,Franklin County,39,39049,11,Mar,9
266,010297001160,Selma High School,102970,Selma City Schools,2021-04-01,2020-2021,2021,1:00 PM,Thursday,Selma,ALABAMA,public,777,0,0,0,targeted,15,m,b,,NA,,NA,,,,NA,,2,771,1,1,0,1,1,0,handgun,,32.428416,-87.022637,39,7,12,662,Dallas County,1,1047,32,Apr,1
265,470222000767,Austin-East Magnet High,4702220,Knox County,2021-04-12,2020-2021,2021,3:15 PM,Monday,Knoxville,TENNESSEE,public,728,0,1,1,accidental,17,m,b,,1,,NA,,,,NA,,81,584,41,1,0,0,21,1,Glock 45 handgun,,35.9901,-83.887,59.3,9,12,472,Knox County,47,47093,12,Apr,12
270,273178001333,Ply_mouth Middle School,2731780,Robbinsdale Area Schools,2021-04-26,2020-2021,2021,8:44 AM,Monday,Ply_mouth,MINNESOTA,public,1001,0,0,0,indiscriminate,12,m,w,,NA,,NA,,,,NA,,454,262,163,35,5,0,82,0,handgun,father's bedroom,45.020964,-93.406233,36.5,6,8,397,Hennepin County,27,27053,13,Apr,26
271,100162000141,Smyrna Middle School,1001620,Smyrna School District,2021-04-27,2020-2021,2021,10:25 AM,Tuesday,Smyrna,DELAWARE,public,984,1,0,1,targeted,47,m,b,,NA,,NA,,,,NA,,571,286,76,16,0,2,33,0,handgun,,39.302595,-75.623778,64,7,8,,Kent County,10,10001,41,Apr,27
272,360106506342,Urban Dove Team Charter School,3601065,Urban Dove Team Charter School,2021-04-29,2020-2021,2021,2:45 PM,Thursday,Brooklyn,NEW YORK,public,313,1,0,1,targeted,15,m,b,,NA,,16,m,b,,NA,,3,218,81,1,10,0,0,0,,,40.622473,-73.954975,24,10,12,268,Kings County,36,36047,11,Apr,29
273,180567001032,Mary Evelyn Castle Elementary School,1805670,Metropolitan School District Of Lawrence Township,2021-04-30,2020-2021,2021,1:00 PM,Friday,Indianapolis,INDIANA,public,672,0,1,1,targeted,32,m,,,NA,,NA,,,,NA,,192,247,157,18,0,1,57,0,,,39.9081,-86.018,34,1,6,393,Marion County,18,18097,11,Apr,30
274,450237000601,Ware Shoals High School,4502370,Greenwood 51,2021-05-05,2020-2021,2021,8:00 AM,Wednesday,Ware Shoals,SOUTH CAROLINA,public,272,0,0,0,public suicide,15,m,w,,1,suicide,NA,,,,NA,,212,36,16,0,0,0,8,0,handgun,mom's gun; kept in her car,34.393145,-82.238603,20,9,12,144,Greenwood County,45,45047,42,May,5
275,160157001061,Rigby Middle School,1601570,Jefferson County Joint District,2021-05-06,2020-2021,2021,9:00 AM,Thursday,Rigby,IDAHO,public,1541,0,3,3,indiscriminate,NA,f,,student,NA,,NA,,,,NA,,1334,1,169,5,3,3,26,0,handgun,,43.668498,-111.941927,76.82,6,8,508,Jefferson County,16,16051,41,May,6
276,482364013022,North Forest High School,4823640,Houston Isd,2021-06-09,2020-2021,2021,10:30 AM,Wednesday,Houston,TEXAS,public,976,0,1,1,targeted,NA,,,,NA,,NA,,,,NA,,6,570,397,0,2,0,1,0,,,29.867029,-95.259744,58.28,9,12,931,Harris County,48,48201,11,Jun,9
285,540385,Saint Francis De Sales School,NA,,2021-08-06,2021-2022,2021,1:00 PM,Friday,Houma,LOUISIANA,private,660,0,1,1,targeted,17,m,b,,NA,,NA,,,,NA,,556,10,5,3,3,0,29,0,,,29.60752,-90.734161,35,PK,7,,Terrebonne County,22,22109,13,Aug,6
286,130174002537,Lithonia High School,1301740,Dekalb County,2021-08-12,2021-2022,2021,3:00 PM,Thursday,Lithonia,GEORGIA,public,1362,0,1,1,targeted,NA,,,resource officer,NA,,NA,,,,NA,,9,1253,74,2,2,1,21,1,handgun,,33.725,-84.1294,88.5,9,12,1075,Dekalb County,13,13089,21,Aug,12
287,350006000118,Washington Middle School,3500060,Albuquerque Public Schools,2021-08-13,2021-2022,2021,12:45 PM,Friday,Albuquerque,NEW MEXICO,public,442,1,0,1,targeted,13,m,,,NA,,NA,,,,NA,,14,6,407,4,5,1,5,0,handgun,,35.086144,-106.661691,34.4,6,8,442,Bernalillo County,35,35001,11,Aug,13
288,450391000873,Orangeburg-Wilkinson High School,4503910,Orangeburg,2021-08-18,2021-2022,2021,4:00 PM,Wednesday,Orangeburg,SOUTH CAROLINA,public,1016,0,3,3,targeted,14,m,,,NA,,NA,,,,NA,,17,954,30,9,2,2,2,0,,,33.524095,-80.836538,57,9,12,1016,Orangeburg County,45,45075,32,Aug,18
289,370333001384,New Hanover High School,3703330,New Hanover County Schools,2021-08-30,2021-2022,2021,11:00 AM,Monday,Wilmington,NORTH CAROLINA,public,1529,0,1,1,targeted,15,m,b,,NA,,NA,,,,NA,,658,488,290,20,4,1,68,0,,,34.2374,-77.9324,95.53,9,12,1504,New Hanover County,37,37129,12,Aug,30
290,370150000623,Mount Tabor High School,3701500,Winston Salem / Forsyth County Schools,2021-09-01,2021-2022,2021,12:00 PM,Wednesday,Winston-Salem,NORTH CAROLINA,public,1491,1,0,1,targeted,15,m,,,NA,,NA,,,,NA,,509,628,252,16,5,2,79,0,,,36.1268,-80.3132,81.76,9,12,595,Forsyth County,37,37067,12,Sep,1
291,470369001987,Lavergne High School,4703690,Rutherford County,2021-09-07,2021-2022,2021,3:30 PM,Tuesday,Lavergne,TENNESSEE,public,1910,0,0,0,targeted,15,m,,,NA,,NA,,,,NA,,474,608,702,66,4,4,52,0,,,35.9887,-86.5597,115.1,9,12,1150,Rutherford County,47,47149,21,Sep,7
292,261428008350,Tri-County Education Center,2614280,Ferndale Public Schools,2021-09-08,2021-2022,2021,2:30 PM,Wednesday,Ferndale,MICHIGAN,public,360,0,0,0,targeted,NA,m,,,NA,,NA,,,,NA,,29,319,4,2,0,0,6,0,,,42.450386,-83.159362,6.48,9,12,262,Oakland County,26,26125,21,Sep,8
293,510264001451,Heritage High School,5102640,Newport News City Pblc Schs,2021-09-20,2021-2022,2021,11:39 AM,Monday,Newport News,VIRGINIA,public,1173,0,2,2,targeted,15,m,,,NA,,NA,,,,NA,,77,971,82,7,2,5,29,0,,,37.0063,-76.4272,77.34,9,12,862,Newport News City,51,51700,12,Sep,20
294,280315001222,Newton County Elementary School,2803150,Newton County School District,2021-09-30,2021-2022,2021,1:45 PM,Thursday,Decatur,MISSISSIPPI,public,787,0,1,1,accidental,NA,m,,student,0,,NA,,,,NA,,568,167,14,10,22,2,4,0,handgun,boyfriend of child's mother,32.446371,-89.105538,60,PK,5,449,Newton County,28,28101,42,Sep,30
295,470014801043,Cummings K-8 Optional School,4700148,Shelby County,2021-09-30,2021-2022,2021,10:00 AM,Thursday,Memphis,TENNESSEE,public,495,0,1,1,targeted,13,m,,,NA,,NA,,,,NA,,1,488,0,0,0,0,6,0,,,35.1189,-90.0283,29.3,PK,8,,Shelby County,47,47157,11,Sep,30
296,480020910714,Yes Prep Southwest Secondary,4800209,Yes Prep Public Schools Inc,2021-10-01,2021-2022,2021,11:45 AM,Friday,Houston,TEXAS,public,1010,0,1,1,targeted,25,m,,former student,NA,,NA,,,,NA,,4,53,951,1,1,0,0,0,,,29.605766,-95.44306,61.51,6,12,922,Harris County,48,48201,21,Oct,1
297,482892013423,Timberview High School,4828920,Mansfield Isd,2021-10-06,2021-2022,2021,9:15 AM,Wednesday,Arlington,TEXAS,public,1900,0,4,4,targeted,18,m,b,student,NA,,NA,,,,NA,,44,69,74,21,0,1,11,0,handgun,,32.622073,-97.076321,11.22,9,11,120,Tarrant County,48,48439,11,Oct,6
299,050900000607,Little Rock Central High School,509000,Little Rock School District,2021-10-12,2021-2022,2021,11:27 AM,Tuesday,Little Rock,ARKANSAS,public,2430,0,0,0,unclear,NA,,,,NA,,NA,,,,NA,,785,1254,155,201,18,0,17,0,,,34.736827,-92.298954,167.63,9,12,1188,Pulaski County,5,5119,12,Oct,12
298,170993001061,Wendell Phillips Academy High School,1709930,City Of Chicago Sd 299,2021-10-12,2021-2022,2021,3:15 PM,Tuesday,Chicago,ILLINOIS,public,599,0,2,2,indiscriminate,NA,,,,NA,,NA,,,,NA,,1,582,9,0,1,0,6,0,,,41.8244,-87.6199,47,9,12,576,Cook County,17,17031,11,Oct,12
300,170993000957,James Mcdade Classical School,1709930,City Of Chicago Sd 299,2021-10-13,2021-2022,2021,8:38 AM,Wednesday,Chicago,ILLINOIS,public,176,0,0,0,targeted,NA,,,,NA,,NA,,,,NA,,2,162,1,4,0,0,7,0,,,41.7344,-87.6188,10,KG,6,47,Cook County,17,17031,11,Oct,13
301,734676,Cathedral School,NA,,2021-10-26,2021-2022,2021,9:20 AM,Tuesday,Natchez,MISSISSIPPI,private,665,0,0,0,unclear,NA,,,,NA,,NA,,,,NA,,499,82,9,2,0,0,4,0,,,31.562163,-91.394805,52.5,PK,12,,Adams County,28,28001,33,Oct,26
306,362376003307,Poughkeepsie High School,3623760,Poughkeepsie City School District,2021-11-15,2021-2022,2021,3:15 PM,Monday,Poughkeepsie,NEW YORK,public,1153,0,0,0,targeted,13,m,,student,NA,,NA,,,,NA,,72,612,413,7,3,6,40,0,.38-caliber handgun,,41.6948,-73.9138,102.83,9,12,865,Dutchess County,36,36027,13,Nov,15
307,360009002194,P.s. 44,3600090,New York City Geographic District #12,2021-11-16,2021-2022,2021,2:15 PM,Tuesday,Bronx,NEW YORK,public,263,0,0,0,unclear,45,m,,,NA,,NA,,,,NA,,4,83,174,0,1,1,0,0,handgun,,40.8425,-73.891,25,PK,5,258,Bronx County,36,36005,11,Nov,16
302,080234000064,Hinkley High School,802340,Aurora Joint District No. 28 Of The Counties Of Adams And Arapahoe,2021-11-19,2021-2022,2021,12:00 PM,Friday,Aurora,COLORADO,public,2091,0,3,3,targeted,16,,,student,NA,,NA,,,,NA,,117,290,1513,81,18,25,47,1,,,39.7349,-104.8086,107.93,9,12,1726,Arapahoe County,8,8005,11,Nov,19
308,173897003955,Thornton Township High School,1738970,Thornton Twp Hsd 205,2021-11-24,2021-2022,2021,3:00 PM,Wednesday,Harvey,ILLINOIS,public,1569,0,0,0,targeted,NA,,,,NA,,NA,,,,NA,,3,1126,406,24,4,1,5,0,,,41.61606,-87.643734,116,9,12,992,Cook County,17,17031,21,Nov,24
303,040633001882,Cesar Chavez High School,406330,Phoenix Union High School District (4286),2021-11-29,2021-2022,2021,3:00 PM,Monday,Laveen,ARIZONA,public,2590,0,1,1,targeted,15,m,,student,NA,,NA,,,,NA,,115,396,1816,53,129,8,73,0,,,33.3757,-112.1463,123.4,9,12,1605,Maricopa County,4,4013,11,Nov,29
304,262724006338,Oxford High School,2627240,Oxford Community Schools,2021-11-30,2021-2022,2021,12:50 PM,Tuesday,Oxford,MICHIGAN,public,1872,4,7,11,indiscriminate,15,m,w,student,0,,NA,,,,NA,,1549,53,186,30,1,5,48,0,9mm handgun,parent,42.838243,-83.260782,81.8,9,12,451,Oakland County,26,26125,21,Nov,30
309,483432003843,Sam Rayburn High School,4834320,Pasadena Isd,2021-12-01,2021-2022,2021,11:00 PM,Wednesday,Pasadena,TEXAS,public,2724,0,0,0,targeted,21,m,,,NA,,NA,,,,NA,,130,84,2482,10,4,0,14,0,,,29.678303,-95.182324,175.78,9,12,2210,Harris County,48,48201,21,Dec,1
310,360108506376,Great Oaks Charter School,3601085,Great Oaks Charter School,2021-12-09,2021-2022,2021,9:30 AM,Thursday,New York,NEW YORK,public,299,0,0,0,unclear,NA,,,,NA,,NA,,,,NA,,9,92,179,11,2,0,6,0,,,40.719909,-73.991729,20,6,9,256,New York County,36,36061,11,Dec,9
311,370405002882,Jesse C. Carson High School,3704050,Rowan-Salisbury Schools,2021-12-09,2021-2022,2021,2:00 PM,Thursday,China Grove,NORTH CAROLINA,public,1245,0,0,0,accidental,NA,,,,0,,NA,,,,NA,,933,48,205,6,3,0,50,0,,,35.563,-80.5457,71.24,9,12,461,Rowan County,37,37159,41,Dec,9
312,370297001285,West Charlotte High School,3702970,Charlotte-Mecklenburg Schools,2021-12-13,2021-2022,2021,2:15 PM,Monday,Charlotte,NORTH CAROLINA,public,1376,0,0,0,targeted,NA,,,student,NA,,NA,,,,NA,,18,1058,187,35,2,0,76,0,,,35.2654,-80.8585,90.6,9,12,1372,Mecklenburg County,37,37119,11,Dec,13
313,450336000951,Eau Claire High School,4503360,Richland 01,2021-12-16,2021-2022,2021,3:00 PM,Thursday,Columbia,SOUTH CAROLINA,public,510,0,0,0,targeted,15,m,,student,NA,,NA,,,,NA,,6,440,46,0,0,6,17,0,,,34.048231,-81.040984,50,9,12,510,Richland County,45,45079,12,Dec,16
314,173451003599,Auburn High School,1734510,Rockford Sd 205,2022-01-04,2021-2022,2022,1:10 PM,Tuesday,Rockford,ILLINOIS,public,1807,0,2,2,targeted,16,m,b,,NA,,17,m,b,,NA,,498,770,331,75,4,2,127,0,9mm handgun,,42.286784,-89.137895,101.1,9,12,1105,Winnebago County,17,17201,12,Jan,4
